period_nm,fill,ridge_width_nm,taper_deg,top_gap_nm,bottom_gap_nm,min_gap_nm,remaining_air_gap_nm,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,score
566.3,0.6599399611513332,373.724,-2.0,192.57599999999996,213.52846169504858,192.57599999999996,160.57599999999996,0.0,1,310.34799974243487,2.0007458106003254e-10,965.9880464794516,775580781172.0837,14.011953520548445
566.3,0.6687692036023309,378.724,-2.0,187.57599999999996,208.52846169504858,187.57599999999996,155.57599999999996,0.0,1,309.0450385995811,1.0649583526557726e-10,970.060737290886,1450972415160.1355,9.939262709114018
566.3,0.6775984460533286,383.724,-2.0,182.57599999999996,203.52846169504858,182.57599999999996,150.57599999999996,0.0,1,307.79654723455735,8.683647960894985e-11,973.9955197468222,1772276747172.7063,6.004480253177803
566.3,0.6864276885043263,388.724,-2.0,177.57599999999996,198.52846169504858,177.57599999999996,145.57599999999996,0.0,1,306.6016849031921,4.103100336400825e-10,977.791293269174,373621968469.9915,2.208706730825952
566.3,0.695256930955324,393.724,-2.0,172.57599999999996,193.52846169504858,172.57599999999996,140.57599999999996,0.0,1,305.4578552623573,1.5555584015672664e-10,981.4527694581916,981827024156.0858,1.4527694581915966
569.3,0.6564623221500088,373.724,-2.0,195.57599999999996,216.52846169504858,195.57599999999996,163.57599999999996,0.0,1,309.43831974448483,5.82930524490399e-10,968.8278369904226,265416123143.48907,11.172163009577389
569.3,0.6652450377656772,378.724,-2.0,190.57599999999996,211.52846169504858,190.57599999999996,158.57599999999996,0.0,1,308.1284558874986,3.3208655279955745e-10,972.9463549106863,463927932778.23627,7.053645089313704
569.3,0.6740277533813456,383.724,-2.0,185.57599999999996,206.52846169504858,185.57599999999996,153.57599999999996,0.0,1,306.8722653439685,1.507991114148383e-10,976.9291391125462,1017486981404.6295,3.0708608874538186
569.3,0.6828104689970139,388.724,-2.0,180.57599999999996,201.52846169504858,180.57599999999996,148.57599999999996,0.0,1,305.6692652944035,1.7813900901705833e-10,980.7739672853818,857951514890.074,0.7739672853817865
569.3,0.6915931846126823,393.724,-2.0,175.57599999999996,196.52846169504858,175.57599999999996,143.57599999999996,0.0,1,304.51678057072223,3.923186251024666e-10,984.4858383112157,388098806794.0795,4.48583831121573
