x_nm,y_nm,abs_ez_squared,in_rare_earth_mask
162.08617021276595,680.0,3.092824913323955e-14,False
168.08936170212766,680.0,6.142039831464253e-14,False
174.0925531914894,560.0000000000001,2.157477565601703e-15,False
180.09574468085114,560.0,8.04960477509667e-16,False
174.0925531914894,599.9999999999999,1.7576156429855924e-14,False
180.09574468085114,599.9999999999999,1.84342926770331e-14,False
186.09893617021288,480.0,8.70245379923679e-14,False
192.1021276595746,480.0,3.1934060477675054e-14,False
186.09893617021288,519.9999999999999,4.208635576003096e-14,False
192.1021276595746,520.0,1.5198582562539975e-14,False
198.1053191489364,400.0,2.402320363547119e-15,False
204.10851063829804,400.0,5.8462178686616716e-15,False
198.10531914893636,439.99999999999994,2.2077527814022437e-16,False
204.10851063829804,440.0,9.140851392939844e-16,False
210.11170212765978,320.00000000000006,4.092096103517449e-15,False
216.1148936170214,320.00000000000006,1.862862674021747e-15,False
210.11170212765975,360.0,1.9027560026148807e-16,False
216.1148936170214,360.0,4.747453919818183e-16,False
222.11808510638306,240.00000000000006,1.6443017971028917e-15,False
228.12127659574472,240.00000000000006,4.4245404960822055e-16,False
222.11808510638303,280.00000000000006,3.4312431293144696e-15,False
228.12127659574472,280.00000000000006,3.7848725308183776e-15,False
234.12446808510643,159.99999999999997,6.444167092397278e-16,False
240.12765957446808,159.99999999999997,2.026854082911197e-15,False
234.1244680851064,200.00000000000003,8.906998863088353e-16,False
240.12765957446808,200.00000000000003,1.3599568121539095e-15,False
246.1308510638299,79.99999999999999,3.934805874099717e-16,False
252.1340425531916,79.99999999999997,8.046092015142671e-16,False
246.13085106382985,119.99999999999997,4.0738530519504794e-16,False
252.13404255319153,119.99999999999994,1.8758228594748988e-16,False
258.13723404255325,0.0,0.0,False
264.14042553191496,0.0,0.0,False
