design_id,period_nm,radius_nm,axis_gap_nm,kx_norm,ky_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_count,bottom_count,side_count,score
fine_P255_G135,255.0,60.0,135.0,0.0,0.0,4,682.3029477229165,0.00023558636448395227,439.3832080024163,1448095.1586852001,11,5,4,2,18.97360359120546
fine_P255_G145,255.0,55.0,145.0,0.0,0.0,1,662.0961927996793,7.035211454416076e-05,452.79290420373064,4705588.432484674,11,5,4,2,7.102448445492004
fine_P255_G145,255.0,55.0,145.0,0.0,0.0,2,676.4072609685408,0.00010336893685995178,443.21295068703165,3271811.0561829777,11,5,4,2,13.727896450362943
fine_P255_G145,255.0,55.0,145.0,0.0,0.0,3,644.5919866061924,0.35589913278202223,465.0887138365178,905.5824069694855,11,5,4,2,34.26100192950801
fine_P255_G145,255.0,55.0,145.0,0.0,0.0,4,644.3258866827254,0.3582783090546741,465.28079066241486,899.1974540445871,11,5,4,2,34.465370388091216
fine_P255_G155,255.0,50.0,155.0,0.0,0.0,1,671.3605415208928,7.776233370604341e-05,446.5446499445045,4316746.357296611,11,5,4,2,9.91472393069915
fine_P255_G155,255.0,50.0,155.0,0.0,0.0,2,652.9016991616608,2.4632950836599774e-05,459.16936406344126,13252608.335327325,11,5,4,2,11.680158610981897
fine_P255_G155,255.0,50.0,155.0,0.0,0.0,3,681.3414998676623,0.00015940751189094605,440.0032260741919,2137105.998912341,11,5,4,2,17.677469672245778
fine_P255_G155,255.0,50.0,155.0,0.0,0.0,4,635.6392012678477,0.2374055914568804,471.63934729329645,1338.7199462471335,11,5,4,2,40.13258835648183
fine_P265_G135,265.0,65.0,135.0,0.0,0.0,1,665.3243187682093,0.00020188516893183893,450.5959718337666,1647779.0872117954,11,5,4,2,7.536432219400375
fine_P265_G135,265.0,65.0,135.0,0.0,0.0,2,652.4713348309156,4.533016379644118e-05,459.4722281212393,7196878.195288369,11,5,4,2,13.043651511385145
fine_P265_G135,265.0,65.0,135.0,0.0,0.0,3,681.6412337135353,0.5668436613170053,439.80974620146,601.2603476325457,11,5,4,2,32.07400354409076
fine_P265_G135,265.0,65.0,135.0,0.0,0.0,4,681.6470621346697,0.5665410982748683,439.80598560956093,601.5865964625531,11,5,4,2,32.07682178454088
fine_P265_G145,265.0,60.0,145.0,0.0,0.0,1,659.4605624378092,0.0001751703557328408,454.6025571139018,1882340.649703248,11,5,4,2,10.503764229675182
fine_P265_G145,265.0,60.0,145.0,0.0,0.0,2,675.6941857839415,0.0005397129947271342,443.6806832253267,625975.4650946992,11,5,4,2,16.133087528622664
fine_P265_G145,265.0,60.0,145.0,0.0,0.0,3,679.4958273693176,0.0005029892695392775,441.19837962898583,675457.5778442695,11,5,4,2,18.48322805772517
fine_P265_G145,265.0,60.0,145.0,0.0,0.0,4,681.6412351659873,0.5668271029829857,439.80974526430634,601.2779131226969,11,5,4,2,32.07395373128861
